receiving_country,period,avg_total_cost_pct,source_engine
AF,2023,9.0243334,worldbank_api_v2
AF,2022,10.1825,worldbank_api_v2
AF,2021,9.4495825,worldbank_api_v2
AF,2020,9.029006,worldbank_api_v2
AF,2019,8.168026,worldbank_api_v2
AF,2018,8.8492225,worldbank_api_v2
AF,2017,9.515925,worldbank_api_v2
AF,2016,7.046036,worldbank_api_v2
AL,2023,5.60000025,worldbank_api_v2
AL,2022,6.08500025,worldbank_api_v2
AL,2021,6.3769025,worldbank_api_v2
AL,2020,7.1907825,worldbank_api_v2
AL,2019,6.9913275,worldbank_api_v2
AL,2018,7.173125,worldbank_api_v2
AL,2017,8.69238,worldbank_api_v2
AL,2016,11.9591825,worldbank_api_v2
DZ,2023,7.83,worldbank_api_v2
DZ,2022,8.8445835,worldbank_api_v2
DZ,2021,7.548335,worldbank_api_v2
DZ,2020,10.918955,worldbank_api_v2
DZ,2019,10.85878,worldbank_api_v2
DZ,2018,10.05817,worldbank_api_v2
DZ,2017,10.07403,worldbank_api_v2
DZ,2016,9.19075,worldbank_api_v2
AO,2023,12.784,worldbank_api_v2
AO,2022,8.183333,worldbank_api_v2
AO,2021,12.19,worldbank_api_v2
AO,2020,13.80849,worldbank_api_v2
AO,2019,18.72155,worldbank_api_v2
AO,2018,12.70437,worldbank_api_v2
AO,2017,12.09267,worldbank_api_v2
AO,2016,15.68054,worldbank_api_v2
AM,2023,4.363333,worldbank_api_v2
AM,2022,4.14,worldbank_api_v2
AM,2021,3.021665,worldbank_api_v2
AM,2020,3.67593,worldbank_api_v2
AM,2019,4.431295,worldbank_api_v2
AM,2018,4.176715,worldbank_api_v2
AM,2017,1.92748,worldbank_api_v2
AM,2016,3.23577,worldbank_api_v2
AZ,2021,1.33333,worldbank_api_v2
AZ,2020,0.99667,worldbank_api_v2
AZ,2019,1.0,worldbank_api_v2
AZ,2018,1.43902,worldbank_api_v2
AZ,2017,1.04195,worldbank_api_v2
AZ,2016,1.39703,worldbank_api_v2
BD,2023,7.65472241666667,worldbank_api_v2
BD,2022,3.44265145454546,worldbank_api_v2
BD,2021,2.79269666666667,worldbank_api_v2
BD,2020,3.05936166666667,worldbank_api_v2
BD,2019,2.93712083333333,worldbank_api_v2
BD,2018,3.649876,worldbank_api_v2
BD,2017,3.33034875,worldbank_api_v2
BD,2016,3.809092,worldbank_api_v2
BY,2021,1.31667,worldbank_api_v2
BY,2020,1.33,worldbank_api_v2
BY,2019,1.33333,worldbank_api_v2
BY,2018,1.27913,worldbank_api_v2
BY,2017,1.04195,worldbank_api_v2
BY,2016,1.3177,worldbank_api_v2
BJ,2020,17.35026,worldbank_api_v2
BJ,2019,9.56004,worldbank_api_v2
BJ,2018,12.28135,worldbank_api_v2
BJ,2016,10.06926,worldbank_api_v2
AU,2023,2.878958375,worldbank_api_v2
AU,2022,3.4228125,worldbank_api_v2
AU,2021,4.12005125,worldbank_api_v2
AU,2020,3.631870625,worldbank_api_v2
AU,2019,3.78235466666667,worldbank_api_v2
AU,2018,3.837296,worldbank_api_v2
AU,2017,4.68477733333333,worldbank_api_v2
AU,2016,9.402796875,worldbank_api_v2
AT,2023,1.82283333333333,worldbank_api_v2
AT,2022,2.1225,worldbank_api_v2
AT,2021,1.88805666666667,worldbank_api_v2
AT,2020,2.06010333333333,worldbank_api_v2
AT,2019,2.50039116666667,worldbank_api_v2
AT,2018,2.42032833333333,worldbank_api_v2
AT,2017,3.61852,worldbank_api_v2
AT,2016,7.60881,worldbank_api_v2
BH,2023,3.8383335,worldbank_api_v2
BH,2022,2.36833325,worldbank_api_v2
BH,2021,1.9425025,worldbank_api_v2
BH,2020,3.2416725,worldbank_api_v2
BH,2019,3.6885175,worldbank_api_v2
BH,2018,1.95747,worldbank_api_v2
BH,2017,1.8161,worldbank_api_v2
BH,2016,4.44503,worldbank_api_v2
BE,2023,3.80833325,worldbank_api_v2
BE,2022,6.368125,worldbank_api_v2
BE,2021,5.2975,worldbank_api_v2
BE,2020,6.1374325,worldbank_api_v2
BE,2019,6.12278,worldbank_api_v2
BE,2018,6.034585,worldbank_api_v2
BE,2017,6.32680333333333,worldbank_api_v2
BE,2016,8.4983325,worldbank_api_v2
